Name,Size(KB),Allocation Time(us),Release Time(us),Active Release Time(us),Duration(us),Active Duration(us),Allocation Total Allocated(MB),Allocation Total Reserved(MB),Allocation Total Active(MB),Release Total Allocated(MB),Release Total Reserved(MB),Release Total Active(MB),Stream Ptr,Device Type
aten::zeros,0.5,"1779785515596661.420	","1779785667087971.730	","1779785667087968.690	","151491310.310	","151491307.270	",19071.576171875,21084,19071.576171875,19128.58349609375,27928,19128.58349609375,6,NPU:0
aten::empty_strided,8.5,"1779785515600453.690	","1779785665728627.910	","1779785665728626.710	","150128174.220	","150128173.020	",19071.58447265625,21084,19071.58447265625,20138.58544921875,27928,20138.58544921875,6,NPU:0
aten::empty_strided,8.5,"1779785515602868.840	","1779785594357188.180	","1779785594357186.910	","78754319.340	","78754318.070	",19071.5927734375,21084,19071.5927734375,19616.66748046875,22868,19616.66748046875,6,NPU:0
aten::empty_strided,4.5,"1779785515603009.090	","1779785594370090.080	","1779785594370088.840	","78767080.990	","78767079.750	",19071.59716796875,21084,19071.59716796875,19616.66552734375,22868,19616.66552734375,6,NPU:0
aten::empty_strided,8.5,"1779785515603091.430	","1779785594357181.950	","1779785594357158.620	","78754090.520	","78754067.190	",19071.60547,21084,19071.60547,19616.67578,22868,19616.67578,6,NPU:0
aten::embedding,8192.5,"1779785515604664.200	",,,,,19079.60595703125,21084,19079.60595703125,,,,6,NPU:0
aten::empty,0.5,"1779785515640614.110	","1779785515640649.760	","1779785515640648.320	","35.650	","34.210	",19079.6064453125,21084,19079.6064453125,19079.60595703125,21084,19079.60595703125,6,NPU:0
aten::clone,32768.5,"1779785515645138.840	","1779785515646853.730	","1779785515646851.820	","1714.890	","1712.980	",19111.6064453125,21084,19111.6064453125,19143.6064453125,21150,19143.6064453125,6,NPU:0
npu::_npu_dtype_cast,65536.5,"1779785515646589.510	","1779785524212183.230	","1779785524212181.820	","8565593.720	","8565592.310	",19175.60693359375,21150,19175.60693359375,19103.68701171875,21216,19103.68701171875,6,NPU:0
aten::pow,65536.5,"1779785515647171.620	","1779785515694696.990	","1779785515694695.470	","47525.370	","47523.850	",19207.60693359375,21216,19207.60693359375,19143.61083984375,21216,19143.61083984375,6,NPU:0
aten::pow,2.5,"1779785515649095.800	","1779785515649636.410	","1779785515649634.900	","540.610	","539.100	",19207.60938,21216,19207.60938,19207.60693359375,21216,19207.60693359375,6,NPU:0
aten::mean,4.5,"1779785515649870.670	","1779785524211988.480	","1779785524211986.790	","8562117.810	","8562116.120	",19207.611328125,21216,19207.611328125,19167.896484375,21216,19167.896484375,6,NPU:0
aten::mean,1.5,"1779785515672332.450	","1779785515694581.860	","1779785515694579.820	","22249.410	","22247.370	",19207.61279296875,21216,19207.61279296875,19207.611328125,21216,19207.611328125,6,NPU:0
aten::add,4.5,"1779785515694769.370	","1779785515698388.940	","1779785515698386.740	","3619.570	","3617.370	",19143.615234375,21216,19143.615234375,19143.615234375,21216,19143.615234375,6,NPU:0
aten::rsqrt,4.5,"1779785515695424.590	","1779785524212084.000	","1779785524212082.220	","8516659.410	","8516657.630	",19143.61962890625,21216,19143.61962890625,19167.89208984375,21216,19167.89208984375,6,NPU:0
aten::matmul,96.5,"1779785515698757.720	","1779785524212113.070	","1779785524212111.780	","8513355.350	","8513354.060	",19143.70947265625,21216,19143.70947265625,19167.7978515625,21216,19167.7978515625,6,NPU:0
aten::mul,96.5,"1779785515975767.550	","1779785524212129.930	","1779785524212128.500	","8236362.380	","8236360.950	",19143.8037109375,21216,19143.8037109375,19167.70361328125,21216,19167.70361328125,6,NPU:0
aten::empty,16.5,"1779785515976601.070	","1779785524212152.010	","1779785524212150.390	","8235550.940	","8235549.320	",19143.81982421875,21216,19143.81982421875,19167.6875,21216,19167.6875,6,NPU:0
aten::empty,16.5,"1779785515976622.820	","1779785524936169.410	","1779785524936150.610	","8959546.590	","8959527.790	",19143.83594,21216,19143.83594,19119.669921875,21930,19119.669921875,6,NPU:0
aten::empty,64.5,"1779785515976654.610	","1779785524936177.630	","1779785524936176.310	","8959523.020	","8959521.700	",19143.89892578125,21216,19143.89892578125,19119.60693359375,21930,19119.60693359375,6,NPU:0
aten::mul,0.5,"1779785515977064.930	","1779785515977508.600	","1779785515977506.850	","443.670	","441.920	",19143.8994140625,21216,19143.8994140625,19143.8994140625,21216,19143.8994140625,6,NPU:0
aten::add,0.5,"1779785515977291.580	","1779785515980438.750	","1779785515980436.770	","3147.170	","3145.190	",19143.89990234375,21216,19143.89990234375,19143.8994140625,21216,19143.8994140625,6,NPU:0
aten::sigmoid,0.5,"1779785515977630.190	","1779785515980637.030	","1779785515980635.400	","3006.840	","3005.210	",19143.89990234375,21216,19143.89990234375,19143.8994140625,21216,19143.8994140625,6,NPU:0
aten::add,0.5,"1779785515980477.250	","1779785515980750.740	","1779785515980729.320	","273.490	","252.070	",19143.89990234375,21216,19143.89990234375,19143.89892578125,21216,19143.89892578125,6,NPU:0
aten::mul,0.5,"1779785515980784.930	","1779785515981023.860	","1779785515981022.430	","238.930	","237.500	",19143.8994140625,21216,19143.8994140625,19143.8994140625,21216,19143.8994140625,6,NPU:0
aten::add,0.5,"1779785515980910.850	","1779785515981065.410	","1779785515981063.510	","154.560	","152.660	",19143.89990234375,21216,19143.89990234375,19143.8994140625,21216,19143.8994140625,6,NPU:0
aten::sigmoid,0.5,"1779785515981036.950	","1779785515981348.740	","1779785515981347.180	","311.790	","310.230	",19143.89990234375,21216,19143.89990234375,19143.8994140625,21216,19143.8994140625,6,NPU:0
aten::add,0.5,"1779785515981116.890	","1779785515981486.530	","1779785515981484.890	","369.640	","368.000	",19143.89990234375,21216,19143.89990234375,19143.89892578125,21216,19143.89892578125,6,NPU:0
aten::mul,0.5,"1779785515981539.880	","1779785515981779.220	","1779785515981777.450	","239.340	","237.570	",19143.8994140625,21216,19143.8994140625,19143.8994140625,21216,19143.8994140625,6,NPU:0
aten::add,0.5,"1779785515981653.050	","1779785515981817.980	","1779785515981816.190	","164.930	","163.140	",19143.89990234375,21216,19143.89990234375,19143.8994140625,21216,19143.8994140625,6,NPU:0
aten::sigmoid,0.5,"1779785515981790.600	","1779785515981884.830	","1779785515981883.410	","94.230	","92.810	",19143.89990234375,21216,19143.89990234375,19143.8994140625,21216,19143.8994140625,6,NPU:0
aten::add,0.5,"1779785515981832.700	","1779785515981971.810	","1779785515981970.310	","139.110	","137.610	",19143.89990234375,21216,19143.89990234375,19143.89892578125,21216,19143.89892578125,6,NPU:0
aten::mul,0.5,"1779785515981994.750	","1779785515982173.380	","1779785515982171.620	","178.630	","176.870	",19143.8994140625,21216,19143.8994140625,19143.8994140625,21216,19143.8994140625,6,NPU:0
aten::add,0.5,"1779785515982094.000	","1779785515982209.420	","1779785515982207.780	","115.420	","113.780	",19143.89990234375,21216,19143.89990234375,19143.8994140625,21216,19143.8994140625,6,NPU:0
